,activity_id,assay_chembl_id,bao_endpoint,bao_format,bao_label,canonical_smiles,molecule_chembl_id,parent_molecule_chembl_id,pchembl_value,potential_duplicate,relation,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id
0,72750,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,CC(=O)O/N=C1/C(c2c(O)[nH]c3cc(Cl)ccc23)=Nc2ccccc21,CHEMBL174068,CHEMBL174068,6.70,0,=,1,=,,IC50,nM,,200.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
1,73782,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,Cn1c(O)c(C2=Nc3ccccc3C2=O)c2ccccc21,CHEMBL435707,CHEMBL435707,,0,>,1,>,,IC50,nM,,100000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
2,74885,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,O=C1C(c2c(O)[nH]c3cc(Br)ccc23)=Nc2ccccc21,CHEMBL176904,CHEMBL176904,4.28,0,=,1,=,,IC50,nM,,53000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
3,74888,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,O=Nc1c(-c2c(O)[nH]c3cc(Cl)ccc23)[nH]c2ccccc12,CHEMBL173040,CHEMBL173040,7.00,0,=,1,=,,IC50,nM,,100.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
4,78255,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,CC(=O)O/N=C1/C(c2c(O)[nH]c3ccccc23)=Nc2ccccc21,CHEMBL176896,CHEMBL176896,6.16,0,=,1,=,,IC50,nM,,700.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
5,78258,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,Cn1c(O)c(-c2[nH]c3ccccc3c2N=O)c2ccc(Br)cc21,CHEMBL173171,CHEMBL173171,,0,>,1,>,,IC50,nM,,100000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
6,79329,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,CO/N=C1/C(c2c(O)[nH]c3cc(Br)ccc23)=Nc2ccccc21,CHEMBL354276,CHEMBL354276,5.66,0,=,1,=,,IC50,nM,,2200.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
7,79332,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,C=Cc1ccc2c(C3=Nc4ccccc4/C3=N\OC(C)=O)c(O)[nH]c2c1,CHEMBL368954,CHEMBL368954,6.40,0,=,1,=,,IC50,nM,,400.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
8,80532,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,CC(=O)O/N=C1/C(c2c(O)[nH]c3cc(Br)c([N+](=O)[O-])cc23)=Nc2ccccc21,CHEMBL172547,CHEMBL172547,4.51,0,=,1,=,,IC50,nM,,31000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
9,81704,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,CC(=O)O/N=C1/C(c2c(O)[nH]c3cc(I)ccc23)=Nc2ccccc21,CHEMBL353554,CHEMBL353554,5.89,0,=,1,=,,IC50,nM,,1300.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
10,81707,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,O=Nc1c(-c2c(O)[nH]c3cc(F)ccc23)[nH]c2ccccc12,CHEMBL174292,CHEMBL174292,6.82,0,=,1,=,,IC50,nM,,150.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
11,81710,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,CC(=O)O/N=C1/C(c2c(O)[nH]c3cc(F)ccc23)=Nc2ccccc21,CHEMBL352781,CHEMBL352781,6.52,0,=,1,=,,IC50,nM,,300.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
