molecule_chembl_id,canonical_smiles,log_ic50(pchembl)
CHEMBL100309,O=C1Cc2c([nH]c3ccc(C(F)(F)F)cc23)-c2cc(Br)ccc2N1,5.523000364762793
CHEMBL100312,CC(C)(C)OC(=O)n1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2,3.096999997288913
CHEMBL1092509,O=C1Nc2c(Br)cccc2/C1=C1/Nc2ccccc2/C1=N\O,4.481486060122112
CHEMBL1094304,CC[C@H](CO)Nc1nc(NCc2ccccc2O)c2ncn(C(C)C)c2n1,6.568636235841013
CHEMBL1094408,COc1ccc(N2CCN(C)CC2)cc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,6.6595558851598815
CHEMBL1099005,CCC(CO)Oc1cc(NCc2ccccc2)c2ncn(C(C)C)c2c1,4.886056647693163
CHEMBL111433,Cc1ccc2[nH]c(O)c(C3=Nc4ccccc4C3=O)c2c1,5.301029995663981
CHEMBL111624,COc1ccc2[nH]c(O)c(C3=Nc4ccccc4C3=O)c2c1,5.920818753952375
CHEMBL114396,COc1ccc2c(c1)C(=O)C(c1[nH]c3ccc(OC)cc3c1O)=N2,4.585026652029182
CHEMBL115220,O=C(Cc1ccc2ccccc2c1)Nc1cc(C2CC2)n[nH]1,6.943095148663527
CHEMBL115429,COc1ccc(OCc2nc(NC(=O)NN3CCOCC3)cs2)cc1,4.522878745280337
CHEMBL115472,O=C(Nc1csc(Cc2c(Cl)cccc2Cl)n1)NN1CCCCC1,5.221848749616356
CHEMBL115625,O=C(Nc1csc(-c2ccccc2Cl)n1)NN1CCOCC1,4.522878745280337
CHEMBL115650,Cc1cccc(-c2nc(NC(=O)NN3CCOCC3)cs2)c1,4.522878745280337
CHEMBL116017,O=C(Nc1csc(CSc2ccccc2)n1)NN1CCOCC1,4.522878745280337
CHEMBL1162016,CC(=O)Nc1cc(C)c(-c2nnc3n2N=C(c2cc(F)c(Cl)cc2Cl)/C(=C/c2ccccc2)S3)s1,5.6252516539898965
CHEMBL1162017,Cc1cc(NC(=O)CCl)sc1-c1nnc2n1N=C(c1cc(F)c(Cl)cc1Cl)/C(=C/c1ccccc1)S2,5.465973893943865
CHEMBL116339,CN(NC(=O)Nc1csc(Cc2c(Cl)cccc2Cl)n1)c1ccccc1,5.0
CHEMBL116545,COc1ccc2c(c1)NC(=O)Cc1c-2[nH]c2ccc([N+](=O)[O-])cc12,6.200997366572284
CHEMBL116615,O=C(NOc1ccccc1)Nc1csc(-c2ccccc2)n1,5.096910013008056
CHEMBL116832,O=C1Cc2c([nH]c3ccccc23)-c2cc(I)ccc2N1,5.131000161513581
CHEMBL116949,O=C(Nc1csc(CS(=O)(=O)c2ccccn2)n1)NN1CCOCC1,5.0
CHEMBL117,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,5.508638306165727
CHEMBL117778,CS(=O)(=O)Cc1nc(NC(=O)NOc2ccccc2)cs1,5.221848749616356
CHEMBL117779,Cc1cccc(-c2nc(NC(=O)NOc3ccccc3)cs2)c1,4.795880017344075
CHEMBL117800,CONC(=O)Nc1csc(Cc2c(Cl)cccc2Cl)n1,5.045757490560675
CHEMBL117906,O=C(Nc1csc(Cc2c(Cl)cccc2Cl)n1)NN1CCCCCC1,5.0
CHEMBL117950,CC(C)(C)ONC(=O)Nc1csc(Cc2c(Cl)cccc2Cl)n1,6.0
CHEMBL1179821,CN1C(=O)/C(=C/c2ccc3c(c2)OCO3)N=C1NCCN,6.040958607678906
CHEMBL118043,O=C(Nc1csc(COc2ccccc2)n1)NN1CCOCC1,4.096910013008056
CHEMBL118162,N#Cc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccsc1-3,6.49499933607313
CHEMBL118406,Cc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccsc1-3,4.398000054034892
CHEMBL118685,C=CCONC(=O)Nc1csc(Cc2c(Cl)cccc2Cl)n1,5.221848749616356
CHEMBL119041,O=C(NOC1CCCCO1)Nc1csc(Cc2c(Cl)cccc2Cl)n1,5.522878745280337
CHEMBL119143,CN(C)NC(=O)Nc1csc(Cc2c(Cl)cccc2Cl)n1,5.3979400086720375
CHEMBL119530,O=C(NOc1ccccc1)Nc1csc(Cc2c(Cl)cccc2Cl)n1,6.045757490560675
CHEMBL119796,CCONC(=O)Nc1csc(Cc2c(Cl)cccc2Cl)n1,5.301029995663981
