molecule_chembl_id,canonical_smiles,log_ic50(pchembl)
CHEMBL1076347,O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1,5.9402473057907015
CHEMBL1256359,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1.Cl,5.210419287835575
CHEMBL129795,O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O,5.235077015350112
CHEMBL1313152,c1ccc(OCc2nnnn2-c2ccccc2)cc1,5.221848749616356
CHEMBL1329507,O=c1c2ccc(Cl)cc2nc(-c2cccc(C(F)(F)F)c2)n1O,5.165261481096159
CHEMBL1331770,Cc1cccc(C(=O)NNC(=O)c2c(O)c3ccccc3n(C)c2=O)c1,6.078313524516398
CHEMBL1334557,CCOC(=O)N1C(=O)C2(CCCCC2)N(c2ccccc2Cl)C1=S,5.083019952679618
CHEMBL1336269,COc1ccc(NC(=O)C#Cc2ccccc2)cc1,5.325598187154718
CHEMBL1339092,I.c1ccc(Sc2cccc3ccccc23)c(CNC2=NCCN2)c1,5.015022873584506
CHEMBL1339245,COc1ccc(CNC(=O)c2c(C)oc3c2C(=O)c2ccccc2C3=O)cc1,5.193480865919295
CHEMBL1343658,Cn1c(=O)c(C(=O)NNC(=O)c2ccccc2F)c(O)c2ccccc21,5.756961951313706
CHEMBL1347185,O=c1c2cc(Cl)ccc2nc(-c2ccc([N+](=O)[O-])cc2)n1O,5.3325470471100465
CHEMBL1363164,COc1cc(CNCCc2ccccc2)ccc1OCc1ccc(Cl)nc1.Cl,4.757458571701616
CHEMBL1366588,Cl.O=C(CCS(=O)(=O)c1ccccc1)N(CCCN1CCOCC1)c1nc2c(F)cccc2s1,5.806875401645538
CHEMBL1381195,Cl.Nc1ccc(Oc2cc(N)cc(Oc3ccccc3)c2)cc1,5.33161408331
CHEMBL1386774,O=c1c2cc(Br)ccc2nc(-c2ccc([N+](=O)[O-])cc2)n1O,5.437707135543525
CHEMBL1388722,O=c1cc(-c2ccccc2Cl)oc2ccc([N+](=O)[O-])c(O)c12,5.257274868695301
CHEMBL1398317,COc1cccc(NC(=O)c2ccccc2)c1,5.0400051616715835
CHEMBL140,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,4.616184634019569
CHEMBL1411435,O=C(NC(=S)NNC(=O)c1ccccc1O)c1ccc(F)cc1,5.311580177997289
CHEMBL1412902,O=C(Nc1scc(-c2ccccc2)c1C(=O)O)c1ccc(F)cc1,5.144783805266637
CHEMBL1427059,CCSc1nsc(NC(=O)Nc2cccc(F)c2)n1,5.7972393126068
CHEMBL1444685,CN(CC(=O)N1CCc2ccccc2C1)c1ccccc1,5.653647025549361
CHEMBL1447078,CCCC1CCC(c2ccc(OCC)cc2)=CC1=O,4.532022124720207
CHEMBL1447669,O=C(Nc1cccc(Cl)c1)c1cnn2cccnc12,5.202732459169283
CHEMBL1451060,O=C(NNC(=S)NC(=O)c1ccc(Br)cc1)c1ccc([N+](=O)[O-])cc1,5.249491605148654
CHEMBL1457403,CCN(CC)c1ccc2nc3ccc(N)cc3[n+](-c3ccccc3)c2c1.[Cl-],5.532391894416366
