hash,smiles
aada5de3df097a15b722abad1edd92608344b2f2,Cc1ccc(cc1)-n1c(C)c(C2=NNC(=O)Cc3ccccc23)c2ccccc12
b5c4d7a71ce3e5123b629cab31fb2e9e4d07ac9b,COc1ccc(cc1OC)S(=O)(=O)NC(=O)Nc1c2CCCc2cc2CCCc12
fcd0946433c09ce6604e8a6a2fe518fe695e2fb2,Oc1ccc2oc(=O)c3ccccc3c2c1
219f31f17bf870cf9c58d401351d4b5533426df6,CN(C(=O)Oc1ccc(Cl)cc1)c1ccc(cc1)S(C)(=O)=O
07f51c23b292bb32de34c5ee134f35bb60abced0,CC(=O)c1ccc(NC(=O)C(CC(=O)c2ccc(F)cc2)NC(=O)c2cccc(F)c2)cc1
efaee03358cadb8d17e5450001851674ed681d9b,Cc1ccc(cc1)C(=O)NC(=S)Nc1c(Cl)cc(Cl)cc1Cl
bcf34e2677a2eaca1c50798d452c5403c242a981,Cc1cccc(C)c1NC(=O)NNC(=O)c1cccc(Cl)c1
020a626256663566613f8f672a40145225672ca6,OC(=O)c1ccc(cc1)S(=O)(=O)NC(=O)Nc1c2CCCc2cc2CCCc12
90db8181067a8f581ef562000ddb150f123100e1,O=C(NC(Cc1ccccc1)c1nc2ccccc2s1)C1COc2ccccc2O1
18b4810e026fa93b60e98e062c06f76bcc212170,Oc1cc(cc2oc3cc(O)c(O)cc3c(=O)c12)S(O)(=O)=O
a1142427ab436acbb4b3a17a3131250d5874caab,Cc1cccc(NC(=O)c2ccc3c(c2)occ(-c2ccc(F)cc2)c3=O)c1
2133d97055410bdefc0ddcbb713225a5245c5ea4,O=C(Nc1ccc2oc(nc2c1)-c1ccccc1)N1CCOCC1
b35f532e741cb0722aa1e46815c58500a67e8c5e,CN(C)c1ccc(CCNC(=O)C(=C\c2ccc(O)c(c2)[N+]([O-])=O)\C#N)cc1
eb429f3cee439e995e9daf544da7e6ae4f81e166,CN(CCc1ccccc1)C(=O)c1ccc(\C=C\c2ccccc2)o1
ab90f1ce78c6a137fe64e1fa5aedcb8988325c8c,Cc1ccc(cc1)S(=O)(=O)NC(=O)Nc1c2CCCc2cc2CCCc12
a153c8e47b96b9d7d79c6b5c5181c914d4757aa1,COc1cccc(\C=C2/SC(=S)N(CCCC(=O)Nc3ccc(cc3)C(O)=O)C2=O)c1
acb29fc5ec503e4d0596981fea764b80402773ec,OC(=O)c1ccc(cc1)N=NCc1cc(Cl)ccc1O
d0b28b5e7d6da3d72c1311b25fe6f256944fb472,OC(=O)c1ccc(NC(=O)c2ccc3OCOc3c2)cc1
2f9f0d33d52bba66e47c21da5917df6db7f5b6be,CC(C)(O)c1ccc(C=NNC(=O)Nc2c(F)cccc2F)c(O)c1
7456bd7968867b1e75d66e0243dd8bcaae2de4a0,CN(C)c1ccc(NC(=O)Nc2ccccc2Cl)cc1
14721e6b6344f8e807006e301ab5ab2b18dcaee7,Oc1ccc2nc3sc(nc3cc2c1)-c1ccccc1
dac2850200e2fefbc0ea0d2fcd4199c825a05814,COc1cccc(\C=N\NC(=O)c2cc3cc(Cl)ccc3[nH]2)c1
234e9adbb49086d821e88d65de2b69d74de3d86e,O=C(Nc1ccc(cc1)-c1ccccc1)c1ccc(cc1)S(=O)(=O)NC1CCCC1
37b0dd81fbf9a5d0c4cd6bd72453197c524edf1f,COc1ccc(cc1)S(=O)(=O)NC(=O)Nc1c2CCCc2cc2CCCc12
306a987489343063e4c97071ac2aacecb852a1e7,O=C1Nc2cccc3cccc(N1)c23
6560da0fb6376459f31485c8009d5ecfe0975e3e,Cc1ccc(NC(=O)c2ccc(COc3ccc(cc3)C(C)(C)C)o2)c(Cl)c1
8e9849219a768f311c17f314506f92e37e4b60d6,COc1ccc(cc1)-c1nc2ccccc2c(=O)o1
a83c7505744016287bba4f8caaf75f27c7ea4d69,Clc1ccc(NC(=O)Nc2ccc(OCc3ccccc3)cc2)cc1
e4317fd6e6522550cf48db1ed65d3d15d28ec964,Cc1ccc2nc(NC(=O)c3ccccc3C)sc2c1
